"رنو،تندر90، E2",28000,2,121000000
"پژو،206،  تیپ 2",50000,1,80000000
"پراید،صندوق دار",160000,13,21000000
"ساینا،EX دنده ای",0,0,65000000
"سمند،LX، ساده",173000,5,62000000
"پژو،206،  تیپ 2",225000,10,48000000
"پژو،206،  تیپ 5",41000,2,95000000
"ساینا،EX دنده ای",0,0,66000000
"دنا،پلاس، دنده ای ساده",0,0,150000000
"پژو،206،  تیپ 2",12000,0,83000000
"پژو،206،  تیپ 5",0,0,109000000
"پژو،206،  تیپ 2",0,0,90000000
"پژو،206،  تیپ 5",0,0,105000000
"دنا،پلاس، دنده ای ساده",0,0,144000000
"پژو،206،  تیپ 2",0,0,91500000
"پژو،206،  تیپ 2",46000,4,70000000
"رنو،تندر90، E2",160000,7,85000000
"پژو،206،  تیپ 2",300000,17,35900000
"ب ام و،X4، 28",51000,2,1590000000
"پژو،206 SD، V8",0,0,109500000
"ب ام و،X4، 28",53000,3,1500000000
"سمند،LX، ساده",45500,4,62000000
"پراید،111، SE",0,0,54000000
"پراید،131، SE",0,0,50000000
"پژو،206،  تیپ 2",0,0,92000000
"ب ام و،X4، 28",57000,3,1460000000
"پراید،صندوق دار",2200,15,18400000
"پژو،206،  تیپ 5",0,0,112000000
"پراید،131، SE",0,0,50000000
"پژو،206 SD، V8",111000,4,76000000
"پژو،206،  تیپ 2",0,0,93000000
"رنو،تندر90، E2",190000,11,61700000
"رنو،تندر90، E2",22000,1,127000000
